"title","category"
"Establishing functional proteomic maps of proteins involved in apoptosis","Biology"
"Pathogen-derived immunomodulatory molecules: future immunotherapeutics and vaccines","Biology"
"Functional Organisation of Eukaryotic Genomes","Biology"
"Centre for the analysis and design of interacting computer controlled systems","Technology"
"Measurement-Based Resource Management in Communication Networks.","Technology"
"Nanostructures and Molecule Mechanics.","Chemistry"
"Studies of Surfaces and Interfaces of Magnetic Spinel Oxides.","Physics"
"Conception and Implementation of Nanoscale Spin Electronics (CINSE)","Engineering"
"The Physics of Next Generation ICT Photonic Devices..","Physics"
"Constraint Computation: Automation and Application","Mathematics"
"Atomtronics: Nanoscale Science and Technology for Future Information.","Technology"
"Sensitivity Analysis Solution Stability and Uncertainty in Constraint Programming","Mathematics"
"Reliable and Scalable Information Services","Technology"
"A molecular genetic approach to elucidate brain wiring mechanisms in mouse","Biology"
"Advanced Techniques of Optical Imaging and their application in Biomedicine and Information Technology","Technology"
"The Function of Nanoscale Complex Systems","Physics"
"Discovery of Therapeutic Targets in the Post-Genomics Era","Biology"
"Chemical Exploration of the Oxidative Metabolites of Aromatic Hydrocarbons","Chemistry"
"Understanding the Role of the Brain in Fatigue","Biology"
"Genomics and Proteomics approach to the control of emerging and re-emerging infectious diseases","Biology"
"Computational Biomechanics","Technology"
"Cyclic-di-GMP signalling and the Environmental Regulation of Virulence Gene Expression in Bacterial Pathogens of Humans and Plants","Biology"
"Materials Design and Molecular Alignments for V Shaped switching in Liquid Crystal on Silicon Microdisplays for Multimedia and IT","Engineering"
"Programmable Quantum Processors","Engineering"
"Software Components Development","Technology"
"Quantum information and coding","Technology"
"Quantum information theory","Technology"
"An Analysis of the Socio-Technical Factors Influencing the Evolution of Irelands ICT Sector","Technology"
"Industrial Process Ecology","Engineering"
"Impact of Hypoxia on cAMP-dependent Pro-inflammatory Gene Expression in Epithelial Cells","Biology"
"Nonlinear Dynamics and Quantum Optics of Semiconductor lasers for Phototonic Applications","Physics"
"Toll-like receptors: targets for intervention in inflammatory and infectious diseases","Biology"
"DNA double-strand break repair and the maintenance of genomic stability","Biology"
"Analysis of mammalian physiological and genetic regulatory networks using cDNA microarrays","Technology"
"A Signal Processing Perspective on Multicarrier Communication Technology","Technology"
"Mathematical Foundations Practical Notations and Tools for Reliable Flexible Systems","Mathematics"
"Functional Characterisation of Rab4-and Rab 11-Interacting Proteins in Endosomal Recycling","Biology"
"Metabolic Engineering of the Chloroplast for Health and Industry","Engineering"
"Determination of Stem Cell and Differentiation Pathways Within the Lung Epithelium","Biology"
"Grammatical Evolution - A Single Evolutionary Framework","Mathematics"
"Automated Computer Analysis of Computed Tomography Colongraphy Image Data Sets.","Technology"
"Building a Bi-Directional Bridge Between Theory and Practice (B4-STEP)","Mathematics"
"The Knowledge Discovery Project: Tools to Uncover New Knowledge through Data Mining in Bioinformatics Medical Informatics and Finance","Technology"
"Development of Coding and Signal Processing for Gbps Data Storage and Baseband Communciations","Technology"
"Mathematical Modelling of Randomness for applications in ICT and Biotechnology","Technology"
"Pharmacological Manipulation of Bilirubin Levels: Implications for Neonatal Jaundice and Coronary Care","Biology"
"MUSTER - Multilingual Ubiquitous Speech Technology: Enhanced and Rethought","Technology"
"CSET NTSRC: National Telecommunications Services Research Centre","Technology"
"Harnessing Radiation Induced Effects for Medicine and Biotechnology","Technology"
"Computational Approaches to the Representation & Analysis of Metabolic Systems & Synaptic Events","Technology"
"Characterization of New Genes that are Associated with Cellular Transformation and IGF-1 Receptor Function","Biology"
"Post-Translational Machinery Responsible for a L-Serine to D-Alanine Conversion in the Lantibiotic Peptide Lacticin 3147; The Role of Modified Amino Acids in Antimicrobial Activity","Chemistry"
"Femtosecond Laser-Induced Bragg and Long-Period Gratings","Physics"
"ZnO-Based Material Systems for ICT Applications","Technology"
"Silicon-Based Photonic Circuits Containing 2- and 3-Dimensional Photonic Crystal Waveguides and Light Sources for Communication Applications in the Visible and Near-Infrared Spectral Range","Physics"
"Quantum-Dot Microlasers With a Spherical Dielectric Microcavity for Fiber-Optic Communications","Physics"
"PhoCUS: Photon Counting Universal Sensors for Applications in ICT and Biotechnology","Technology"
"The Development of an Integrated Quasi-Optical and Electromagnetic Numerical Simulator for the Computer Aided Design and Analysis of Novel Terahertz Systems","Physics"
"Opening the Extreme Ultra-Violet Lithography Source Bottleneck: The Development of a 13.5nm Plasma Based Source for the Semiconductor Industry","Physics"
"Investigations of the Mechanisms Regulating the Induction of Synaptic Plasticity in the Intact Brain: Effects of Stress and Amyloid","Biology"
"Study of elements controlling human interleukin-10 expression and secretion in the probiotic.","Biology"
"ERCIM Membership","Technology"
"The Exploitation of Anhydrobiotic Genes for the Preservation of Intact Proteins Cells and Tissues in Dry State","Biology"
"Investigations of the Mechanisms Underlying the Induction of Synaptic Plasticity: Role of Metabotropic Glutamate Receptors and Amyloid","Biology"
"A Genomic Investigation of the Major Psychotic Disorders","Biology"
"Functional Genomics of Tissue Development in Reproduction","Biology"
"Design Methodology for Next-Generation Fractional-N Frequency Synthesizers","Engineering"
"Nonlinear Effects in Communications Circuits and Systems","Technology"
"Macrophage Migration Inhibitory Factor (MIF) Aberrant Remodelling/Repair & Chronic Inflammation","Biology"
"Interfacial Processes for Future Bioelectroanalytical Sensing","Engineering"
"Electro-Optical and Spectroscopic Research on Devices Using Chiral Smectic Liquid Crystals for Photonic Applications","Physics"
